Timestamp,Classes
0.1,0
0.30000000000000004,0
0.5,0
0.7000000000000001,0
0.9,0
1.1,0
1.3000000000000003,0
1.5000000000000002,0
1.7000000000000002,0
1.9000000000000001,0
2.1,0
2.3000000000000003,0
2.5000000000000004,0
2.7,0
2.9000000000000004,0
3.1,0
3.3000000000000003,0
3.5000000000000004,0
3.7,0
3.9000000000000004,0
4.1,0
4.3,0
4.5,0
4.7,0
4.9,0
5.1,0
5.3,0
5.5,0
5.7,0
5.9,0
6.1,0
6.3,0
6.5,0
6.7,0
6.9,0
7.1,0
7.3,0
7.5,0
7.7,1
7.9,1
8.1,1
8.3,1
8.5,1
8.7,1
8.9,1
9.1,1
9.3,1
9.5,1
9.700000000000001,1
9.9,1
10.1,1
10.3,1
10.5,1
